ISO,REF_AREA_LABEL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
COD,"Congo, Dem. Rep.",30.633,31.067,31.506,31.946,32.39,32.838,33.289,33.742,34.199,34.659,35.122,35.587,36.055,36.526,37.0,37.481,37.971,38.47,38.976,39.491,40.013,40.544,41.082,41.627,42.18,42.74,43.307,43.88,44.46,45.046,45.638,46.235,46.837,47.444,48.055
COG,"Congo, Rep.",54.324,54.743,55.162,55.58,55.996,56.413,56.832,57.299,57.766,58.231,58.695,59.156,59.617,60.076,60.533,60.988,61.441,61.893,62.346,62.8,63.256,63.712,64.169,64.627,65.085,65.543,66.001,66.459,66.916,67.373,67.829,68.283,68.736,69.188,69.638
COL,Colombia,69.481,69.949,70.415,70.874,71.328,71.777,72.223,72.662,73.098,73.53,73.957,74.379,74.797,75.211,75.62,76.024,76.423,76.816,77.204,77.587,77.964,78.335,78.701,79.061,79.415,79.764,80.108,80.446,80.778,81.104,81.425,81.74,82.05,82.354,82.652
COM,Comoros,27.869,28.366,28.435,28.39,28.346,28.301,28.257,28.213,28.168,28.124,28.08,28.036,27.992,27.947,27.903,27.875,27.863,27.867,27.886,27.921,27.973,28.04,28.123,28.223,28.338,28.47,28.619,28.784,28.965,29.164,29.38,29.613,29.864,30.132,30.418
CPV,Cabo Verde,44.12,45.044,45.973,46.902,47.834,48.768,49.704,50.637,51.572,52.505,53.435,54.291,55.146,55.997,56.846,57.689,58.529,59.363,60.194,61.016,61.821,62.322,62.821,63.317,63.81,64.3,64.784,65.261,65.732,66.195,66.652,67.102,67.545,67.982,68.412
CRI,Costa Rica,50.003,50.917,51.832,52.743,53.653,54.561,55.467,56.367,57.264,58.157,59.052,60.41,61.753,63.08,64.388,65.672,66.935,68.174,69.39,70.575,71.736,72.868,73.946,74.97,75.941,76.862,77.735,78.56,79.34,80.076,80.771,81.425,82.042,82.622,83.167
CSS,Caribbean small states,48.56112444222887,48.70823357446712,48.78063678493294,48.84426658699129,48.91029572087404,48.99151350912045,49.08025446074151,49.166280217667314,49.25166331569238,49.33649203982748,49.41182511249982,49.38646917712106,49.32090600194686,49.235390004665526,49.13769270290491,48.93628176861751,48.82307097275695,48.71965401947617,48.61773714934862,48.513331202423785,48.428700439576495,48.38381178960688,48.373917435132775,48.35694323671895,48.353721391768566,48.35964192498663,48.37517339121417,48.402320803730525,48.35980605664051,48.37405668611389,48.47893840762523,48.552121024511926,48.65293726716637,48.7879139879962,48.93938492925847
CUB,Cuba,73.364,73.676,73.827,73.977,74.127,74.277,74.426,74.618,74.855,75.089,75.323,75.555,75.785,75.947,76.041,76.134,76.227,76.32,76.413,76.505,76.597,76.689,76.781,76.827,76.861,76.896,76.93,76.977,77.037,77.109,77.194,77.292,77.401,77.523,77.657
CUW,Curacao,84.678,84.947,85.444,86.224,86.969,87.68,88.358,89.002,89.615,90.198,90.752,91.011,90.894,90.775,90.655,90.534,90.411,90.287,90.161,90.034,89.905,89.775,89.654,89.544,89.443,89.352,89.272,89.203,89.145,89.098,89.062,89.038,89.025,89.023,89.033
CYM,Cayman Islands,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
